1	greentp	OTL	OTL	2.417	SR	Diamond (natural and irradiated color)	Page 186
2	greentp	OTL	OTL	2.417	SR	HPHT-treated diamond	Page 187
3	greentp	OTL	OTL	2.417	SR	Synthetic diamond	Page 188
4	greentp	OTL	OTL	2.150	SR	CZ (synthetic cubic zirconia)	Page 189
5	greentp	OTL	OTL	1.97	SR	GGG (gadolinium gallium garnet	Page 189
6	greentp	OTL	OTL	1.925 to 1.984 (high type) 1.810 to 1.815 (low type) 	DR or amorphous/SR	Zircon	Page 189
7	greentp	OTL	OTL	1.900 to 2.034	DR	Sphene	Page 190
8	greentp	OTL	OTL	1.888	SR	Demantoid garnet	Page 190
9	greentp	OTL	OTL	1.833	SR	YAG (yttrium aluminum garnet)	Page 191
10	greentp	1.762	1.77	1.762 to 1.770	DR	Corundum, green sapphire	Page 192
11	greentp	1.762	1.77	1.762 to 1.770	DR	Synthetic corundum, synthetic green sapphire	Page 193
12	greentp	1.762	1.77	1.762 to 1.770	DR	Corundum; color-change sapphire	Page 194
13	greentp	1.752	1.769	1.752 to 1.769 range	SR	Grossular-andradite garnet	Page 195
14	greentp	1.746	1.755	1.746 to 1.755	DR	Natural and synthetic alexandrite chrysoberyl	Pages 196 and 197
15	greentp	1.746	1.755	1.746 to 1.755	DR	Chrysoberyl	Page 198
16	greentp	1.746	1.755	1.746 to 1.755	DR	Synthetic chrysoberyl	Page 198
17	greentp	1.74	1.74	1.740	SR	Grossular garnet, including tsavorite	Page 199
18	greentp	1.729	1.768	1.729 to 1.768	DR	Epidote	Page 199
19	greentp	1.728	1.728	1.728	SR	Synthetic spinel	Page 200
20	greentp	1.713	1.718	1.713 to 1.718	DR	Transparent idocrase	Page 200
21	greentp	1.691	1.7	1.691 to 1.700	DR	Zoisite	Page 201
22	greentp	1.675	1.701	1.675 to 1.701	DR	Diopside	Page 201
23	greentp	1.667	1.68	1.667 to 1.680	DR	Kornerupine	Page 202
24	greentp	1.663	1.673	1.663 to 1.673	DR	Enstatite	Page 202
25	greentp	1.66	1.676	1.660 to 1.676	DR	Spodumene	Page 203
26	greentp	1.654	1.69	1.654 to 1.690	DR	Peridot	Page 203
27	greentp	1.652	1.671	1.652 to 1.671	DR	Euclase	Page 204
28	greentp	1.634	1.643	1.634 to 1.643	DR	Andalusite	Page 204
29	greentp	1.634	1.638	1.634 to 1.638	DR	Apatite	Page 205
30	greentp	1.624	1.644	1.624 to 1.644	DR	Tourmaline (including parti-colored)	Pages 205 and 206
31	greentp	1.609	1.617	1.609 to 1.617	DR	Treated green topaz	Page 207
32	greentp	1.602	1.621	1.602 to 1.621	DR	Brazilianite	Page 207
33	greentp	1.47	1.7	1.470 to 1.700 range	SR	Glass	Page 217
34	greentp	1.46	1.7	1.460 to 1.700 range	SR	Plastic	Page 217
35	greentp	1.577	1.583	1.577 to 1.583	DR	Green beryl	Page 207
36	greentp	1.577	1.583	1.577 to 1.583	DR	Emerald	Pages 208 and 209
37	greentp	1.571	1.577	1.571 to 1.577	DR	Hydrothermal synthetic emerald	Page 210
38	greentp	1.562	1.566	1.562 to 1.566	DR	Flux-grown synthetic emerald	Page 211
39	greentp	1.559	1.568	1.559 to 1.568	DR	Labradorite feldspar	Page 213
